admissionNumber,name,fatherName,motherName,dateOfBirth,admissionDate,aadharNumber,penNumber,aaparId,mobileNumber,address,class,section,yearlyFeeAmount
20240011,Vivaan Shah,Jatin Shah,Mitali Shah,Mon Feb 01 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time),112233445566,,,919876543220,"""7B",10,B,50000.00
20240012,Anika Nair,Gopal Nair,Radha Nair,Sun Jun 19 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time),223344556677,,,919876543221,"""A-50",9,C,45000.00
20240013,Krish Kumar,Suresh Kumar,Meena Kumar,Sat Dec 08 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),334455667788,,,919876543222,"""8/9",8,A,40000.00
20240014,Pari Bose,Amit Bose,Tanuja Bose,Wed May 22 2013 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),445566778899,,,919876543223,"""11C",7,B,38000.00
20240015,Reyansh Saxena,Pramod Saxena,Neelu Saxena,Tue Jan 14 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 08 2024 00:00:00 GMT+0000 (Coordinated Universal Time),556677889900,,,919876543224,"""34",6,C,35000.00
20240016,Samaira Rao,Kiran Rao,Shobha Rao,Thu Sep 03 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 08 2024 00:00:00 GMT+0000 (Coordinated Universal Time),667788990011,,,919876543225,"""Plot 22",5,A,32000.00
20240017,Zoya Siddiqui,Junaid Siddiqui,Samina Siddiqui,Fri Apr 29 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),778899001122,,,919876543226,"""H No 4",4,B,30000.00
20240018,Arjun Menon,Rahul Menon,Lata Menon,Thu Nov 16 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),889900112233,,,919876543227,"""12",3,C,28000.00
20240019,Tanishq Goyal,Vivek Goyal,Seema Goyal,Thu Jun 07 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time),990011223344,,,919876543228,"""Flat 8",2,A,26000.00
20240020,Nitya Das,Pratap Das,Swati Das,Sat Mar 09 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1122334455,,,919876543229,"""21/A",1,B,24000.00
20240021,Vihaan Singh,Sandeep Singh,Pooja Singh,Fri Aug 20 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 00:00:00 GMT+0000 (Coordinated Universal Time),102938475601,,,919876543230,"""12/4",10,C,50000.00
20240022,Siya Gupta,Ashish Gupta,Megha Gupta,Tue Apr 05 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 00:00:00 GMT+0000 (Coordinated Universal Time),213049586712,,,919876543231,"""A-10",9,A,45000.00
20240023,Devansh Jain,Rajiv Jain,Sneha Jain,Wed Oct 17 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 00:00:00 GMT+0000 (Coordinated Universal Time),324150697823,,,919876543232,"""56",8,B,40000.00
20240024,Alia Bhatia,Rohit Bhatia,Jyoti Bhatia,Mon Jan 28 2013 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 12 2024 00:00:00 GMT+0000 (Coordinated Universal Time),435261708934,,,919876543233,"""1A",7,C,38000.00
20240025,Advik Iyer,Ganesh Iyer,Shanti Iyer,Fri Jul 11 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 00:00:00 GMT+0000 (Coordinated Universal Time),546372819045,,,919876543234,"""H No 90",6,A,35000.00
20240026,Kaira Deshmukh,Manoj Deshmukh,Anjali Deshmukh,Mon Mar 02 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 00:00:00 GMT+0000 (Coordinated Universal Time),657483920156,,,919876543235,"""D-44",5,B,32000.00
20240027,Aarohi Sahoo,Pradeep Sahoo,Sasmita Sahoo,Fri Nov 25 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 14 2024 00:00:00 GMT+0000 (Coordinated Universal Time),768594031267,,,919876543236,"""3B",4,C,30000.00
20240028,Yash Rajawat,Kailash Rajawat,Vimla Rajawat,Fri May 19 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 14 2024 00:00:00 GMT+0000 (Coordinated Universal Time),879605142378,,,919876543237,"""201",3,A,28000.00
20240029,Nihal Chauhan,Brijesh Chauhan,Suman Chauhan,Wed Aug 01 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),980716253489,,,919876543238,"""Flat 10",2,B,26000.00
20240030,Eesha Varma,Rakesh Varma,Neha Varma,Fri Dec 06 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),91827364590,,,919876543239,"""No 5",1,C,24000.00
20240031,Dhruv Malhotra,Harish Malhotra,Kiran Malhotra,Tue Sep 07 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),102938475602,,,919876543240,"""12/1",10,A,50000.00
20240032,Jahnavi Kulkarni,Anand Kulkarni,Supriya Kulkarni,Mon Mar 14 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),213049586713,,,919876543241,"""B-4",9,B,45000.00
20240033,Pranav Tiwari,Manoj Tiwari,Lalita Tiwari,Thu Jul 26 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time),324150697824,,,919876543242,"""78",8,C,40000.00
20240034,Sanvi Aggarwal,Saurabh Aggarwal,Tanya Aggarwal,Wed Dec 04 2013 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time),435261708935,,,919876543243,"""Plot 15",7,A,38000.00
20240035,Riva Mehta,Nilesh Mehta,Pooja Mehta,Mon Jun 09 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time),546372819046,,,919876543244,"""H No 11",6,B,35000.00
20240036,Jayant Sharma,Vinod Sharma,Preeti Sharma,Wed Oct 21 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time),657483920157,,,919876543245,"""C-55",5,C,32000.00
20240037,Himani Dubey,Shyam Dubey,Archana Dubey,Mon May 30 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),768594031268,,,919876543246,"""6A",4,A,30000.00
20240038,Shaurya Kapoor,Gaurav Kapoor,Neha Kapoor,Fri Sep 15 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),879605142379,,,919876543247,"""105",3,B,28000.00
20240039,Mihika Patil,Rajesh Patil,Smita Patil,Fri Feb 23 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time),980716253490,,,919876543248,"""Flat 12",2,C,26000.00
20240040,Aditya Hegde,Prasad Hegde,Renuka Hegde,Mon Jul 08 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time),91827364501,,,919876543249,"""No 7",1,A,24000.00
20240041,Rian Malik,Farhan Malik,Ayesha Malik,Sat Apr 10 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 21 2024 00:00:00 GMT+0000 (Coordinated Universal Time),102938475603,,,919876543250,"""15/2",10,B,50000.00
20240042,Trisha Nair,Suresh Nair,Bindu Nair,Sat Aug 27 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 21 2024 00:00:00 GMT+0000 (Coordinated Universal Time),213049586714,,,919876543251,"""A-60",9,C,45000.00
20240043,Arnav Singh,Vikram Singh,Divya Singh,Sat Feb 18 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time),324150697825,,,919876543252,"""90",8,A,40000.00
20240044,Kiara Dasgupta,Sourav Dasgupta,Rima Dasgupta,Thu Oct 03 2013 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time),435261708936,,,919876543253,"""12D",7,B,38000.00
20240045,Shlok Jha,Umesh Jha,Mridula Jha,Fri May 16 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),546372819047,,,919876543254,"""H No 23",6,C,35000.00
20240046,Ananya Rao,Vishal Rao,Priyanka Rao,Thu Jan 29 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),657483920158,,,919876543255,"""D-66",5,A,32000.00
20240047,Harshita Negi,Gopal Negi,Shalini Negi,Sun Sep 11 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time),768594031269,,,919876543256,"""4B",4,B,30000.00
20240048,Samarth Jain,Mukesh Jain,Vandana Jain,Mon Apr 24 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jun 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time),879605142380,,,919876543257,"""202",3,C,28000.00
20240049,Manya Reddy,Bhaskar Reddy,Soumya Reddy,Mon Nov 05 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 25 2024 00:00:00 GMT+0000 (Coordinated Universal Time),980716253491,,,919876543258,"""Flat 15",2,A,26000.00
20240050,Ishan Pandit,Rajiv Pandit,Meenal Pandit,Sat Jun 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 25 2024 00:00:00 GMT+0000 (Coordinated Universal Time),91827364502,,,919876543259,"""No 8",1,B,24000.00
20240051,Aahana Verma,Abhay Verma,Sonali Verma,Tue Jun 22 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 00:00:00 GMT+0000 (Coordinated Universal Time),102938475604,,,919876543260,"""16/3",10,C,50000.00
20240052,Rishabh Bhatnagar,Prem Bhatnagar,Seema Bhatnagar,Mon Dec 19 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 26 2024 00:00:00 GMT+0000 (Coordinated Universal Time),213049586715,,,919876543261,"""B-5",9,A,45000.00
20240053,Mira Mehra,Vivek Mehra,Poonam Mehra,Fri Aug 31 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),324150697826,,,919876543262,"""100",8,B,40000.00
20240054,Avni Dubey,Anil Dubey,Priyanka Dubey,Tue Mar 12 2013 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),435261708937,,,919876543263,"""Plot 18",7,C,38000.00
20240055,Kartik Singh,Rajesh Singh,Neeta Singh,Tue Nov 04 2014 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 28 2024 00:00:00 GMT+0000 (Coordinated Universal Time),546372819048,,,919876543264,"""H No 33",6,A,35000.00
20240056,Tara Nair,Ramesh Nair,Geetha Nair,Fri May 08 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 28 2024 00:00:00 GMT+0000 (Coordinated Universal Time),657483920159,,,919876543265,"""D-77",5,B,32000.00
20240057,Jahanvi Rao,Kiran Rao,Shobha Rao,Wed Jan 20 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 00:00:00 GMT+0000 (Coordinated Universal Time),768594031270,,,919876543266,"""7A",4,C,30000.00
20240058,Om Verma,Sunil Verma,Madhuri Verma,Thu Jul 06 2017 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Jun 29 2024 00:00:00 GMT+0000 (Coordinated Universal Time),879605142381,,,919876543267,"""108",3,A,28000.00
20240059,Inaaya Khan,Asif Khan,Saira Khan,Fri Sep 28 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),980716253492,,,919876543268,"""Flat 18",2,B,26000.00
20240060,Krishiv Dutta,Samar Dutta,Anamika Dutta,Wed Apr 03 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Jun 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),91827364503,,,919876543269,"""No 9",1,C,24000.00
ROUNDTRIP001,Round Trip Student,,,Thu Jan 01 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jan 01 2024 00:00:00 GMT+0000 (Coordinated Universal Time),111122223333,PEN999,APA999,9876543210,123 Test Lane,5,B,15000.00
STU0048,Sample Student,Sample Father Name,Sample Mother Name,Fri May 14 2010 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1234-5678-9012,PEN000001,AAP001,555-0100,123 Sample Street,10,A,25000.00
